sim,control_mode,comms_level,n_blue,n_red,success,success_rate,time_to_objective,t_obj_success,blue_losses,red_losses,blue_survivors,arrived,blue_loss_frac,red_loss_frac,loss_exchange,mission_time,detection_coverage,n_repeats,seed
sim-000011,supervisory,1,6,6,0.38333333333333336,0.38333333333333336,1464.1166666666666,923.7826086956521,3.8966666666666665,1.9466666666666668,2.1033333333333335,1.7866666666666666,0.6494444444444444,0.3244444444444445,0.8248333333333334,1211.1833333333334,0.44625850130296035,300,3342
sim-000012,supervisory,1,8,8,0.35,0.35,1497.22,934.9142857142857,5.226666666666667,2.85,2.7733333333333334,2.44,0.6533333333333333,0.35625,0.8664365079365078,1324.3066666666666,0.424551910077473,300,3642
sim-000013,supervisory,2,2,2,0.76,0.76,1117.3266666666666,901.7456140350877,0.8433333333333334,0.7366666666666667,1.1566666666666667,0.76,0.4216666666666667,0.36833333333333335,0.715,799.4133333333333,0.5296071314749955,300,3942
sim-000014,supervisory,2,3,3,0.5066666666666667,0.5066666666666667,1348.8266666666666,909.5263157894736,1.5433333333333332,1.0366666666666666,1.4566666666666668,1.2733333333333334,0.5144444444444444,0.3455555555555555,0.8877777777777777,1042.7666666666667,0.4798543624904436,300,4242
sim-000015,supervisory,2,4,4,0.44,0.44,1409.2266666666667,911.8787878787879,2.52,1.4266666666666667,1.48,1.1833333333333333,0.63,0.3566666666666667,0.9061111111111112,1076.65,0.4729195480196523,300,4542
sim-000016,supervisory,2,5,5,0.3433333333333333,0.3433333333333333,1497.4533333333334,918.7961165048544,3.0733333333333333,1.6633333333333333,1.9266666666666667,1.6733333333333333,0.6146666666666667,0.33266666666666667,0.9444444444444445,1186.9666666666667,0.44576245412455884,300,4842
sim-000017,supervisory,2,6,6,0.38,0.38,1466.6633333333334,922.7982456140351,3.92,2.0866666666666664,2.08,1.74,0.6533333333333333,0.34777777777777774,0.9190555555555556,1218.0533333333333,0.4472504280218283,300,5142
sim-000018,supervisory,2,8,8,0.32,0.32,1522.97,934.28125,5.433333333333334,2.8333333333333335,2.566666666666667,2.2666666666666666,0.6791666666666667,0.3541666666666667,0.8270277777777776,1288.0033333333333,0.4373421888479509,300,5442
sim-000019,supervisory,3,2,2,0.7533333333333333,0.7533333333333333,1123.3166666666666,901.7477876106195,0.8533333333333334,0.74,1.1466666666666667,0.7533333333333333,0.4266666666666667,0.37,0.7216666666666667,794.0166666666667,0.5264021071275605,300,5742
sim-000020,supervisory,3,3,3,0.5233333333333333,0.5233333333333333,1334.08,909.7070063694267,1.4633333333333334,1.0466666666666666,1.5366666666666666,1.3366666666666667,0.4877777777777778,0.34888888888888886,0.9138888888888888,1090.6166666666666,0.4661527830741945,300,6042
sim-000021,supervisory,3,4,4,0.5566666666666666,0.5566666666666666,1305.8666666666666,912.3353293413173,2.1733333333333333,1.42,1.8266666666666667,1.4166666666666667,0.5433333333333333,0.355,0.9980555555555555,1125.0066666666667,0.4648321365271853,300,6342
sim-000022,supervisory,3,5,5,0.37666666666666665,0.37666666666666665,1468.7166666666667,920.4867256637168,2.94,1.79,2.06,1.7833333333333334,0.588,0.35800000000000004,1.089388888888889,1229.87,0.44060762796644865,300,6642
sim-000023,supervisory,3,6,6,0.39666666666666667,0.39666666666666667,1452.4333333333334,923.781512605042,3.82,2.1666666666666665,2.18,1.82,0.6366666666666667,0.3611111111111111,1.032888888888889,1214.96,0.45158698949722026,300,6942
sim-000024,supervisory,3,8,8,0.2866666666666667,0.2866666666666667,1551.7966666666666,934.1744186046511,5.446666666666666,2.7,2.5533333333333332,2.236666666666667,0.6808333333333333,0.3375,0.8114960317460318,1349.0933333333332,0.4158234246306868,300,7242
sim-000025,supervisory,4,2,2,0.7433333333333333,0.7433333333333333,1132.13,901.5201793721973,0.8466666666666667,0.6966666666666667,1.1533333333333333,0.7433333333333333,0.42333333333333334,0.34833333333333333,0.685,791.1566666666666,0.5287140087838822,300,7542
sim-000026,supervisory,4,3,3,0.46,0.46,1390.5466666666666,909.8840579710145,1.5933333333333333,0.92,1.4066666666666667,1.2633333333333334,0.5311111111111111,0.30666666666666664,0.7583333333333333,1133.8066666666666,0.44696044190218726,300,7842
sim-000027,supervisory,4,4,4,0.5366666666666666,0.5366666666666666,1323.4766666666667,912.0683229813665,2.2333333333333334,1.37,1.7666666666666666,1.3533333333333333,0.5583333333333333,0.3425,0.966388888888889,1085.77,0.4731337366839434,300,8142
sim-000028,supervisory,4,5,5,0.37666666666666665,0.37666666666666665,1468.9166666666667,921.0176991150443,3.0866666666666664,1.52,1.9133333333333333,1.7333333333333334,0.6173333333333334,0.304,0.8562777777777778,1202.4566666666667,0.44120295547361316,300,8442
sim-000029,supervisory,4,6,6,0.44,0.44,1414.1466666666668,923.060606060606,3.66,2.216666666666667,2.34,1.92,0.61,0.3694444444444444,1.0417222222222222,1184.4766666666667,0.4574770407337196,300,8742
sim-000030,supervisory,4,8,8,0.3233333333333333,0.3233333333333333,1520.28,934.8865979381443,5.433333333333334,2.7333333333333334,2.566666666666667,2.24,0.6791666666666667,0.3416666666666667,0.8125238095238095,1258.89,0.44229924205064547,300,9042
sim-000031,supervisory,5,2,2,0.76,0.76,1117.1533333333334,901.5175438596491,0.8466666666666667,0.68,1.1533333333333333,0.76,0.42333333333333334,0.34,0.6616666666666666,798.6233333333333,0.5292907749780388,300,9342
sim-000032,supervisory,5,3,3,0.49666666666666665,0.49666666666666665,1357.5,909.0604026845638,1.51,1.0966666666666667,1.49,1.27,0.5033333333333333,0.3655555555555556,0.9516666666666667,1060.4233333333334,0.4710172393461847,300,9642
sim-000033,supervisory,5,4,4,0.58,0.58,1285.0566666666666,912.1666666666666,2.14,1.5466666666666666,1.86,1.4166666666666667,0.535,0.38666666666666666,1.0808333333333333,1072.2033333333334,0.4814463154693099,300,9942
sim-000034,supervisory,5,5,5,0.37333333333333335,0.37333333333333335,1471.7333333333333,920.7142857142857,3.0033333333333334,1.67,1.9966666666666666,1.7833333333333334,0.6006666666666667,0.33399999999999996,0.9280000000000002,1202.01,0.4476113394385688,300,10242
sim-000035,supervisory,5,6,6,0.43,0.43,1423.1133333333332,923.5193798449612,3.7733333333333334,2.05,2.2266666666666666,1.85,0.6288888888888887,0.3416666666666667,0.9373888888888888,1166.3666666666666,0.46010646920221615,300,10542
sim-000036,supervisory,5,8,8,0.33666666666666667,0.33666666666666667,1508.69,934.7227722772277,5.41,2.8233333333333333,2.59,2.263333333333333,0.67625,0.35291666666666666,0.8562738095238096,1244.3433333333332,0.44438944983979684,300,10842
